Department,turnover rate,date
WATERSHED PROTECTION,0.132,09/09/2018 12:00:00 AM
MAYOR & CITY COUNCIL OFFICES,0.247,09/09/2018 12:00:00 AM
GOVERNMENTAL RELATIONS,0,09/09/2018 12:00:00 AM
OFFICE OF REAL ESTATE,0.17,09/09/2018 12:00:00 AM
MANAGEMENT SERVICES,0.117,09/09/2018 12:00:00 AM
OFFICE OF THE CITY CLERK,0.329,09/09/2018 12:00:00 AM
MUNICIPAL COURT,0.127,09/09/2018 12:00:00 AM
DEVELOPMENT SERVICES,0.069,09/09/2018 12:00:00 AM
ECONOMIC DEVELOPMENT,0.134,09/09/2018 12:00:00 AM
COMMUNICATIONS/TECHNOLOGY MGT,0.072,09/09/2018 12:00:00 AM
LAW DEPARTMENT,0.163,09/09/2018 12:00:00 AM
HUMAN RESOURCES DEPT,0.096,09/09/2018 12:00:00 AM
PUBLIC INFORMATION OFFICE,0.178,09/09/2018 12:00:00 AM
PUBLIC WORKS DEPT,0.07,09/09/2018 12:00:00 AM
PLANNING & ZONING,0.15,09/09/2018 12:00:00 AM
FLEET SERVICES,0.097,09/09/2018 12:00:00 AM
OFFICE OF CITY AUDITOR,0.207,09/09/2018 12:00:00 AM
NEIGHBORHOOD HOUSING & COM DEV,0.095,09/09/2018 12:00:00 AM
FINANCIAL & ADMIN SERVICES TOTAL,0.084,09/09/2018 12:00:00 AM
SMALL & MINORITY BUSINESS RESOURCES,0.198,09/09/2018 12:00:00 AM
BUILDING SERVICES,0.095,09/09/2018 12:00:00 AM
AVIATION DEPARTMENT,0.111,09/09/2018 12:00:00 AM
AUSTIN FIRE DEPT,0.06,09/09/2018 12:00:00 AM
LIBRARY DEPARTMENT,0.101,09/09/2018 12:00:00 AM
PARKS & RECREATION DEPT,0.093,09/09/2018 12:00:00 AM
AUSTIN POLICE DEPT,0.079,09/09/2018 12:00:00 AM
ANIMAL SERVICES,0.196,09/09/2018 12:00:00 AM
AUSTIN PUBLIC HEALTH,0.097,09/09/2018 12:00:00 AM
AUSTIN CONVENTION CENTER,0.085,09/09/2018 12:00:00 AM
EMERGENCY MEDICAL SERVICES,0.098,09/09/2018 12:00:00 AM
ENTIRE CITY TOTAL,0.085,09/09/2018 12:00:00 AM
